,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
50,352820,KR7352820005,하이브,KOSPI,,229500,1,500,0.22,225500,231000,224500,90781,20670015250,9559156261500,41652097,STK
51,018260,KR7018260000,삼성에스디에스,KOSPI,,121700,2,-800,-0.65,122000,122800,121500,69700,8504488600,9416878260000,77377800,STK
52,086280,KR7086280005,현대글로비스,KOSPI,,125300,1,4600,3.81,120600,126000,120100,209664,26001494650,9397500000000,75000000,STK
53,042700,KR7042700005,한미반도체,KOSPI,,90500,1,100,0.11,91500,92500,88700,738277,66724454900,8743590439500,96614259,STK
54,047810,KR7047810007,한국항공우주,KOSPI,,85400,2,-500,-0.58,82700,86000,82000,1567349,131580298300,8324374137800,97475107,STK
55,003490,KR7003490000,대한항공,KOSPI,,22425,1,25,0.11,22400,22600,22350,507625,11395428550,8257348322925,368220661,STK
56,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,61600,1,1200,1.99,60700,63000,58800,795524,48527478700,8201321744000,133138340,KSQ
57,326030,KR7326030004,SK바이오팜,KOSPI,,104000,1,100,0.1,102400,104900,102300,101352,10470527250,8144578000000,78313250,STK
58,272210,KR7272210006,한화시스템,KOSPI,,37350,2,-1450,-3.74,35900,37400,35050,8045372,290493811150,7056139179150,188919389,STK
59,005830,KR7005830005,DB손해보험,KOSPI,,98400,1,900,0.92,96400,98700,96100,127527,12462982000,6966720000000,70800000,STK
60,003230,KR7003230000,삼양식품,KOSPI,,904000,2,-4000,-0.44,905000,930000,899000,31241,28478895500,6809845560000,7533015,STK
61,010950,KR7010950004,S-Oil,KOSPI,,58300,3,0,0.0,58300,58600,57800,126080,7332698800,6563576773600,112582792,STK
62,090430,KR7090430000,아모레퍼시픽,KOSPI,,109600,2,-100,-0.09,109800,110600,108800,165801,18173556700,6410806386400,58492759,STK
63,443060,KR7443060009,HD현대마린솔루션,KOSPI,,142400,2,-900,-0.63,140000,145700,140000,64024,9087789100,6383679504000,44829210,STK
64,021240,KR7021240007,코웨이,KOSPI,,87200,1,200,0.23,85300,88100,85300,97082,8457880350,6327558564000,72563745,STK
65,028300,KR7028300002,HLB,KOSDAQ,중견기업부,46500,5,-19900,-29.97,46500,49650,46500,10540916,495086780700,6109515634500,131387433,KSQ
66,079550,KR7079550000,LIG넥스원,KOSPI,,270500,3,0,0.0,260000,274500,260000,189508,50680945000,5951000000000,22000000,STK
67,267250,KR7267250009,HD현대,KOSPI,,75300,2,-100,-0.13,75100,76000,74700,81634,6145563950,5948179300500,78993085,STK
68,010120,KR7010120004,LS ELECTRIC,KOSPI,,194600,2,-8900,-4.37,198000,200000,192100,329198,64114518400,5838000000000,30000000,STK
69,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,291000,2,-11000,-3.64,297000,305500,287500,303156,89055850000,5645358678000,19399858,KSQ
70,006800,KR7006800007,미래에셋증권,KOSPI,,9860,1,120,1.23,9700,9880,9700,256103,2511643010,5623319782880,570316408,STK
71,005387,KR7005382007,현대차2우B,KOSPI,,154400,1,300,0.19,154100,155300,153500,33076,5109953150,5521249970400,35759391,STK
72,180640,KR7180640005,한진칼,KOSPI,,81600,2,-2200,-2.63,82000,84400,80200,24300,1978010450,5447801966400,66762279,STK
73,000150,KR7000150003,두산,KOSPI,,318000,2,-1000,-0.31,315000,329500,311000,100947,32236006000,5254579530000,16523835,STK
74,088980,KR7088980008,맥쿼리인프라,KOSPI,,10970,2,-20,-0.18,10990,11020,10930,336687,3690092675,5253774263210,478921993,STK
75,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,41900,1,500,1.21,40950,42150,40950,149381,6246074425,5190365391100,123875069,STK
76,051900,KR7051900009,LG생활건강,KOSPI,,327500,1,3000,0.92,324500,328500,322500,27910,9098290250,5114959517500,15618197,STK
77,064400,KR7064400005,LG씨엔에스,KOSPI,,52500,1,100,0.19,52300,52900,52100,163415,8580206200,5086512270000,96885948,STK
